employee_id,first_name,last_name,gender,date_of_birth,email,phone,department_id,department_name,job_title,employment_type,join_date,salary,status,location,manager_id,years_experience
EMP014575,Daniel,,male,"September 01, 1998",emp014575@company.lk,0796313904,D006,Ops,Operations Executive,full-time,10/11/2019,334998.27,Inactive,Negombo,,12
EMP019288,John,Wijesinghe,Female,09-03-1983,emp019288@company.lk,0738074446,D002,human resources,Talent Acquisition Specialist,Permanent,2012-10-29,,on leave,Kurunegala,EMP018623,15
EMP003732,Nimal,Harris,Male,"September 25, 1974",emp003732@company.lk,0753750773,D005,Fiance,Finance Manager,,12 Aug 2016,207678.73,Active,Galle,EMP008740,2
EMP019554,Chanaka,Senanayake,Woman,07-31-1997,emp019554@company.lk,0766508391,D008,I.T.,Cloud Engineer,Full-Time,08/08/2016,169176.56,On Leave,Gampaha,EMP000245,6
EMP004006,Sophia,Miller,m,09/03/1989,emp004006@company.lk,0761189843,D003,sales,Business Dev Executive,Permanent,2011/09/13,241700.5,on leave,Gampaha,EMP015544,29
EMP000964,Chathura,Liyanage,m,1995/01/23,emp000964@company.lk,0792935461,D009,Law,Paralegal,permanent,2012-11-08,341613.1,ACTIVE,Kurunegala,EMP009919,4
EMP009249,Shalini,Thomas,MALE,24 Jan 1985,emp009249@company.lk,0736929054,D011,Administration,Records Officer,permanent,26 Apr 2016,171109.73,ACTIVE,Kurunegala,EMP012935,15
EMP017305,Fathima,Seneviratne,Male,14 May 1994,emp017305@company.lk,0758404435,D009,Legal,Contract Manager,Permanent,07/04/2014,296350.69,Active,Kandy,EMP014911,24
EMP014169,Priya,Karunaratne,m,,emp014169@company.lk,0790280948,D010,r&d,Product Developer,Full-Time,21 Aug 2023,59873.83,On Leave,Matara,EMP004868,
EMP014862,Nuwan,Wickramasinghe,Man,"September 17, 1977",,0743066336,D001,engineering,Software Engineer,Contract,15 Nov 2018,86084.12,Active,Colombo,EMP006889,12
EMP018547,Menaka,Davis,Male,2000/09/23,emp018547@company.lk,0736172964,D012,procurement,Purchasing Executive,Full-Time,07-14-2016,176789.63,Inactive,Negombo,EMP013344,19
EMP010787,Priya,Jayawardena,FEMALE,10-10-1974,emp010787@company.lk,0713742124,D010,r&d,Product Developer,Permanent,2017/03/11,341289.4,on leave,Kurunegala,EMP006117,6
EMP011676,Isabella,Garcia,Male,03-01-1984,emp011676@company.lk,0780530556,D005,Finance,Finance Analyst,Part-Time,28 May 2023,127313.49,terminated,Colombo,,11
EMP006253,Ashan,Davis,Woman,26 Mar 1971,emp006253@company.lk,0762170520,D011,ADMIN,Admin Executive,permanent,2011/03/29,63898.01,terminated,Gampaha,EMP003909,13
EMP006145,Olivia,Abeywickrama,Man,07/08/1971,emp006145@company.lk,0798248416,D012,PROCUREMENT,Supply Manager,CONTRACT,04/06/2018,161132.37,Terminated,Negombo,EMP009447,12
EMP018359,Chanaka,Liyanage,m,1975-04-09,emp018359@company.lk,0728691536,D001,Eng,Software Engineer,,07 Nov 2021,166913.89,Active,Jaffna,,
EMP015828,Chamara,Gunasekara,F,24/06/1983,emp015828@company.lk,0760017958,D001,Engineerng,Senior Engineer,,10-26-2010,314058.56,terminated,,EMP001937,16
EMP018132,Sarah,Jones,FEMALE,1980/01/13,emp018132@company.lk,0789886359,D010,Research and Development,R&D Engineer,full-time,17 Nov 2023,167070.37,terminated,Matara,EMP011227,24
EMP018206,Arjun,Ilangasinghe,Man,20/05/1974,emp018206@company.lk,N/A,D002,HR,HR Executive,permanent,2012-03-24,295182.89,Inactive,Colombo,EMP002859,1
EMP000449,Emma,Senanayake,F,01-25-1993,emp000449@company.lk,0750754622,D012,PROCUREMENT,Purchasing Executive,CONTRACT,2011-01-27,183047.8,Terminated,Kandy,,13
EMP009167,Chanaka,Jackson,male,1991-04-19,emp009167@company.lk,0779054116,D007,Customer service,Senior Support Agent,Permanent,2013/05/26,308485.71,Inactive,Gampaha,EMP006294,15
EMP015961,Nimal,Miller,female,09-15-1991,emp015961@company.lk,0742477566,D011,admin,Office Manager,Contract,23/01/2021,59441.42,ACTIVE,Matara,EMP000234,19
EMP008058,Isuru,Kodituwakku,MALE,1987/02/03,emp008058@company.lk,0733488918,D009,legal,Legal Analyst,,05-31-2012,,Inactive,Kurunegala,EMP018147,25
EMP018120,Anjali,Ilangasinghe,f,,emp018120@company.lk,0795995162,D004,Marketting,Marketing Executive,permanent,2015-05-05,48145.34,on leave,Matara,EMP000002,5
EMP013977,Piumali,Harris,Woman,03-27-1971,emp013977@company.lk,N/A,D009,Legal,Compliance Officer,,06-23-2015,153734.06,on leave,Jaffna,EMP002334,29
EMP008098,Lakshmi,Samaraweera,F,1970-10-29,emp008098@company.lk,0766973982,D012,Procurement,Category Analyst,full-time,2010-08-14,103110.83,ACTIVE,Galle,EMP004314,3
EMP014197,Nuwan,Gunawardena,f,09/11/1974,emp014197@company.lk,0761927461,D002,H.R.,Talent Acquisition Specialist,,03/08/2011,149957.7,On Leave,Galle,EMP006019,1
EMP014678,Pasindu,Dissanayake,female,1992-07-18,emp014678@company.lk,0753310212,D009,Legal,Compliance Officer,Permanent,2016/11/07,285089.91,active,Kurunegala,,15
EMP014021,Emma,Williams,Male,1998-07-19,emp014021@company.lk,0746396563,D086,Customer Support,Support Team Lead,full-time,"August 13, 2011",145894.6,Active,Negombo,EMP012991,29
EMP006203,Chamath,Brown,FEMALE,1983/08/06,emp006203@company.lk,0722853688,D006,Ops,Operations Executive,full-time,19/06/2019,256543.67,ACTIVE,Kurunegala,EMP015548,11
EMP016061,Shehan,Brown,Female,,emp016061@company.lk,N/A,D002,Humaan Resources,Compensation Analyst,Part-Time,2012/11/14,256326.39,Terminated,Negombo,,25
EMP012598,Hasini,Senanayake,M,,emp012598@company.lk,0739303945,D006,Operatons,Process Engineer,Part-Time,08-24-2021,302526.89,On Leave,Colombo,EMP008389,25
EMP007037,Sanduni,Abeywickrama,Female,05-20-1977,emp007037@company.lk,0755934232,D011,Administration,FACILITIES MANAGER,Part-Time,09-27-2018,44521.97,ACTIVE,,EMP003680,20
EMP008420,,Jackson,MALE,"October 10, 1986",emp008420@company.lk,0782119221,D001,engineering,Junior Developer,,2013/09/22,172105.95,Active,Negombo,EMP000465,19
EMP014527,Kumari,Thomas,MALE,1981-10-06,emp014527@company.lk,0724876403,D004,Mktg,Brand Manager,permanent,2021/12/29,206328.84,Active,Colombo,,0
EMP014324,Buddhika,Davis,Female,"August 18, 1982",emp014324@company.lk,0711554614,D010,Research & Dev,Lab Technician,Permanent,2012-07-07,278905.58,terminated,Negombo,EMP013022,11
EMP017164,Nethmi,Liyanage,f,"April 20, 1993",emp017164@company.lk,0741471596,D007,Customer Support,Senior Support Agent,Permanent,27/11/2019,259760.42,Active,,EMP009959,17
EMP009438,Dasun,Pathirana,FEMALE,1998/01/23,,0798799717,D011,Administration,Office Manager,Part-Time,2022-08-24,101227.23,Inactive,,EMP001118,7
EMP003793,Chamath,Dassanayake,male,1988-07-13,emp003793@company.lk,0734190053,D008,Info Tech,Cloud Engineer,Contract,09/12/2011,280361.67,active,Kurunegala,EMP003223,10
EMP008658,Dimuth,Weerasinghe,FEMALE,"July 02, 1985",emp008658@company.lk,0721504867,D005,Fin,Finance Analyst,full-time,19 Dec 2012,117171.88,active,Kurunegala,EMP011922,
EMP009062,Sanduni,Perera,Woman,1987-02-11,emp009062@company.lk,0791422603,D010,Research & Dev,Innovation Lead,full-time,"July 05, 2020",65564.16,On Leave,Matara,EMP004005,18
EMP002895,Lasith,Smith,Female,19 Oct 1972,emp002895@company.lk,0761387768,D008,Info Tech,CLOUD ENGINEER,Full-Time,26 Feb 2017,101033.39,Inactive,Gampaha,EMP019672,14
EMP004499,Sophia,Amarasinghe,Woman,05/05/1994,emp004499@company.lk,0784876524,D001,engineering,DevOps Engineer,Full-Time,2020/06/12,268163.67,ACTIVE,Negombo,,10
EMP009294,Piumali,Garcia,F,1998/03/12,emp009294@company.lk,0756897305,D004,Marketting,Content Writer,Part-Time,2020-03-17,144858.58,Terminated,Matara,EMP003270,14
EMP008644,,Davis,m,09/02/1996,emp008644@company.lk,0711995878,D004,marketing,Digital Marketer,Full-Time,03-30-2019,117226.86,ACTIVE,Gampaha,EMP008134,12
EMP012980,John,Wickramasinghe,f,"June 30, 1983",emp012980@company.lk,0744743469,D007,customer support,Customer Success Manager,Contract,2010/07/06,40066.88,ACTIVE,Galle,EMP019819,29
EMP006940,Chanaka,White,FEMALE,,emp006940@company.lk,0778149305,D006,Operations,Process Engineer,CONTRACT,2014/08/17,139565.65,Inactive,Jaffna,EMP015281,11
EMP000912,Suresh,Ilangasinghe,Female,,emp000912@company.lk,0729236657,D002,H.R.,HR Executive,full-time,2014/02/01,274476.87,Inactive,Galle,EMP014000,
EMP008795,Yomal,Anderson,female,1972/03/02,emp008795@company.lk,0754648535,D008,Information Technology,IT Manager,permanent,"February 18, 2018",324833.53,active,Colombo,EMP019280,25
EMP000557,Nuwan,Wijesinghe,f,1995-12-12,emp000557@company.lk,0775479724,D007,customer support,Support Agent,permanent,"June 13, 2014",82361.64,On Leave,,,20
EMP005689,Kaveesha,Bandara,male,,emp005689@company.lk,0758953483,D006,Ops,Logistics Coordinator,,10-18-2017,329667.27,active,Kurunegala,EMP005459,27
EMP001829,Arjun,Mendis,MALE,1993-09-09,emp001829@company.lk,0711953871,D007,customer support,Technical Support Engineer,Part-Time,06-20-2019,339606.82,Active,Matara,EMP005519,23
EMP009953,Tharushi,Ilangasinghe,m,12-17-1972,,0715971545,D008,I.T.,IT Manager,Permanent,07-22-2018,274985.95,On Leave,Gampaha,EMP013728,26
EMP012772,Avanthi,Jones,female,1999-07-06,emp012772@company.lk,0776875841,D003,sales,Regional Sales Lead,permanent,2014/08/07,323213.09,ACTIVE,Jaffna,EMP016260,0
EMP011936,Sarah,Harris,male,"February 23, 1979",emp011936@company.lk,0772688707,D006,Operatons,Process Engineer,Part-Time,2019-12-01,331830.27,Active,Gampaha,EMP004638,11
EMP014840,Chanaka,Hettiarachchi,Woman,1976-08-11,emp014840@company.lk,0716819529,D003,SALES,Sales Manager,,2021-07-11,175929.69,active,Gampaha,EMP014567,
EMP003614,John,Johnson,Man,19/07/1993,emp003614@company.lk,0727827681,D008,Info Tech,Cybersecurity Analyst,,20 Aug 2016,309791.96,Active,Gampaha,EMP004719,22
EMP005943,Harper,Wijesinghe,female,2000-03-15,emp005943@company.lk,0799692575,D010,Research and Development,Innovation Lead,full-time,09/06/2023,110645.3,Inactive,Colombo,EMP003332,10
EMP019190,Hasini,Perera,female,"February 21, 1989",emp019190@company.lk,0711075207,D001,ENGINEERING,QA Engineer,full-time,20 Feb 2010,139446.26,terminated,Matara,EMP002214,23
EMP014309,Ryan,Seneviratne,M,1995/12/18,emp014309@company.lk,0772761959,D004,MARKETING,Marketing Executive,Full-Time,03-29-2024,183467.37,Active,Matara,EMP018748,23
EMP016875,Shalini,Gunasekara,Male,1988/02/05,emp016875@company.lk,0767026850,D007,Cust Support,Customer Success Manager,CONTRACT,01/01/2014,98258.44,Active,Matara,EMP015720,28
EMP013075,Pasindu,Harris,FEMALE,24 Mar 1975,emp013075@company.lk,0787089587,D010,Research and Development,Product Developer,full-time,2013/05/24,328625.05,active,Galle,EMP003570,5
EMP006411,Olivia,Rajapaksa,male,1973/09/01,emp006411@company.lk,0719781150,D006,operations,Operations Executive,Contract,2021-07-05,200557.58,Inactive,,EMP016352,
EMP013921,Sanduni,Johnson,M,12 May 1976,emp013921@company.lk,0783228514,D006,Ops,Supply Chain Analyst,,2014-04-01,148840.78,Inactive,Negombo,EMP003808,11
EMP011993,Malini,Mendis,Female,07 Feb 1979,emp011993@company.lk,0784759367,D003,Slaes,Sales Coordinator,full-time,02-20-2018,163955.42,on leave,Jaffna,EMP016047,7
EMP017003,Vishwa,Miller,FEMALE,"January 23, 1997",emp017003@company.lk,0780461462,D007,CS,Support Team Lead,Permanent,2013/01/21,91013.04,terminated,Negombo,EMP000800,21
EMP016964,Piumali,Kodituwakku,female,"April 28, 1993",emp016964@company.lk,0735246779,D002,H.R.,HR Executive,permanent,2012-10-23,48482.97,Terminated,Kandy,EMP015183,1
EMP012825,Kaveesha,Garcia,Male,1991-08-19,,0779474937,D004,MARKETING,Marketing Executive,permanent,04 Oct 2014,153799.07,active,Matara,EMP018833,3
EMP017273,Gayan,Gunawardena,Woman,1991/02/03,emp017273@company.lk,0711871088,D010,Research and Development,Innovation Lead,permanent,11/12/2018,159088.0,Inactive,Kurunegala,,7
EMP017767,Ashan,Seneviratne,M,26/03/1976,emp017767@company.lk,0775973145,D010,Research and Development,Innovation Lead,Contract,24/03/2020,148153.1,Active,Kandy,EMP006918,19
EMP001580,Ashan,Karunaratne,Female,15/01/1978,emp001580@company.lk,0767236768,D012,PROCUREMENT,Vendor Manager,full-time,14/08/2021,198192.03,Active,Gampaha,,15
EMP018327,,Gunasekara,m,1984-08-07,emp018327@company.lk,0747854776,D009,LEGAL,Paralegal,CONTRACT,04/01/2020,270224.0,On Leave,Kurunegala,EMP006110,21
EMP012938,Chanaka,Jones,Man,1979/04/09,emp012938@company.lk,0730234153,D008,Info Tech,IT SUPPORT,full-time,2015-11-16,298826.31,Inactive,Colombo,EMP012565,
EMP018686,Tharushi,White,MALE,10 Sep 1979,emp018686@company.lk,0773369269,D067,Cust Support,Technical Support Engineer,CONTRACT,2012/09/03,343735.45,ACTIVE,Jaffna,EMP010552,
EMP002372,Chathura,Ranasinghe,Female,06-29-1987,emp002372@company.lk,0768665225,D012,Procurement,VENDOR MANAGER,Full-Time,2022-04-04,,ACTIVE,Kandy,EMP012492,23
EMP000786,Kithsiri,Miller,female,10 May 1978,,0752132300,D009,Legal,CONTRACT MANAGER,,01-02-2020,113011.96,active,Negombo,EMP010723,7
EMP017565,Chanaka,Karunaratne,Woman,"May 28, 1981",emp017565@company.lk,0764731755,D002,Human Resource,Talent Acquisition Specialist,,2019/10/08,225614.65,On Leave,Galle,EMP017454,
EMP013693,Samantha,Weerasinghe,FEMALE,24/02/1976,emp013693@company.lk,0738882158,D010,R&D,Research Scientist,permanent,08 Feb 2017,183608.56,Terminated,Galle,EMP001368,7
EMP000626,Amelia,Miller,male,1985/08/09,emp000626@company.lk,0779390240,D005,Fin,Budget Analyst,CONTRACT,2024/06/29,290148.26,terminated,Gampaha,EMP010623,18
EMP002161,Bhanuka,Abeywickrama,m,04-29-1987,emp002161@company.lk,0732552579,D007,Customer Support,SUPPORT TEAM LEAD,CONTRACT,02/03/2015,,terminated,Galle,EMP013339,18
EMP001724,Sarah,Senanayake,female,27 Jun 2000,emp001724@company.lk,0725360324,D002,human resources,Talent Acquisition Specialist,Permanent,2016-06-12,118750.85,on leave,Jaffna,EMP010264,
EMP011219,Roshan,Ilangasinghe,M,"November 03, 1989",emp011219@company.lk,0796516766,D007,CS,Technical Support Engineer,CONTRACT,2015-07-11,56083.67,on leave,Negombo,EMP016456,24
EMP014423,Nuwan,Dissanayake,M,1992/09/21,emp014423@company.lk,0746744455,D005,Fiance,Payroll Officer,full-time,"September 08, 2020",336523.32,Inactive,Galle,EMP016142,0
EMP006153,Thisari,Harris,Woman,31 Aug 1983,emp006153@company.lk,0795491058,D012,Procurment,Supply Manager,Permanent,12/04/2022,337296.02,on leave,Colombo,EMP014847,17
EMP008522,Malini,Gunawardena,Woman,23 Sep 1985,,0711936537,D008,Info Tech,System Admin,Full-Time,2020-10-04,147414.08,On Leave,Matara,,14
EMP002974,Sarah,Wickramasinghe,male,"May 19, 1982",emp002974@company.lk,0743642404,D003,SALES,Business Dev Executive,,2022-01-28,162740.57,terminated,Gampaha,EMP001699,17
EMP002117,Daniel,Thomas,f,,emp002117@company.lk,0759555890,D005,FINANCE,Internal Auditor,Full-Time,2019-02-16,,Inactive,Kurunegala,,13
EMP010389,Suresh,Gamage,male,1990/03/30,emp010389@company.lk,0771026119,D008,IT,System Admin,permanent,2018/05/18,261528.82,On Leave,,,3
EMP002239,Amali,Karunaratne,f,09 Oct 1985,emp002239@company.lk,0794616456,D010,RnD,Lab Technician,full-time,2013-10-22,72886.05,Inactive,Jaffna,,6
EMP016342,Shehan,Ranasinghe,female,12-30-1990,emp016342@company.lk,0749227498,D005,Fiance,Finance Analyst,Part-Time,2024/07/28,,on leave,Colombo,EMP010468,30
EMP007271,Michael,Jayawardena,Female,"September 05, 1990",emp007271@company.lk,0736021735,D001,Engineerng,Tech Lead,CONTRACT,14/10/2017,189945.31,On Leave,Negombo,EMP017317,3
EMP010482,Avanthi,Jackson,MALE,07/07/1982,,0713699619,D010,R&D,Lab Technician,,10/06/2014,312135.76,on leave,Kurunegala,EMP014162,5
EMP016538,Amali,Seneviratne,f,10-24-1971,emp016538@company.lk,0735223496,D012,Procurement,Supply Manager,Contract,"January 25, 2021",223945.81,terminated,Negombo,EMP013828,28
EMP016085,Chamara,Weerasinghe,m,,emp016085@company.lk,0765159384,D009,legal,Paralegal,Contract,2015/11/03,134214.9,on leave,Colombo,EMP014872,8
EMP001185,Shehan,Seneviratne,f,17/12/1998,,0746371670,D011,ADMIN,Admin Executive,full-time,2010/07/27,,ACTIVE,Galle,EMP011525,24
EMP011090,,Martin,M,15/07/1990,,0713388007,D007,customer support,Customer Success Manager,permanent,21/10/2022,232836.68,Terminated,Kandy,EMP000294,
EMP018263,Ryan,Gunawardena,f,1974-01-08,emp018263@company.lk,0776406605,D010,Research & Dev,Product Developer,CONTRACT,2022/12/20,254157.59,Terminated,Matara,EMP010147,30
EMP012536,Isuru,Wijesinghe,female,"February 25, 2000",emp012536@company.lk,0776861403,D003,Sale,Sales Executive,CONTRACT,25 Oct 2010,305976.59,ACTIVE,Gampaha,EMP004497,7
EMP008076,Iresha,Wimalasuriya,Woman,1976/11/10,emp008076@company.lk,N/A,D011,Administraton,Executive Assistant,permanent,05 Mar 2023,340720.95,active,Kurunegala,EMP018668,23
EMP019951,Dhanuka,Gamage,f,,emp019951@company.lk,0724221874,D009,Legal,Legal Analyst,permanent,"April 29, 2019",239860.69,on leave,Colombo,EMP000394,10
EMP017327,Priya,Pathirana,m,12-19-1988,emp017327@company.lk,0785242274,D010,RnD,Innovation Lead,permanent,2012-01-15,133246.41,terminated,Kurunegala,EMP005684,26
EMP019091,Kasun,Samaraweera,M,1978-01-04,emp019091@company.lk,0732220126,D010,R&D,Product Developer,Part-Time,"December 28, 2010",186904.46,Inactive,Matara,EMP006946,5
EMP006268,Priya,Fernando,f,1983-03-14,emp006268@company.lk,0767202063,D003,sales,REGIONAL SALES LEAD,Full-Time,03-29-2015,276181.9,Active,Jaffna,EMP017676,6
EMP013554,Hasini,Samaraweera,M,"July 18, 1994",emp013554@company.lk,0716001702,D006,Operations,Operations Executive,Permanent,2023/06/16,303130.69,on leave,Matara,EMP003837,24
EMP007878,Piumali,Wimalasuriya,Woman,03 Aug 1981,emp007878@company.lk,N/A,D003,Sale,Sales Executive,Permanent,"August 20, 2016",144945.99,Inactive,Kandy,EMP016895,26
EMP007129,Kavindu,Bandara,Male,08-28-1984,emp007129@company.lk,0752061112,D010,Research and Development,R&D Engineer,CONTRACT,07-16-2021,237286.31,terminated,Gampaha,EMP015157,8
EMP001106,Yomal,Martin,f,14 May 1992,emp001106@company.lk,0742220998,D009,legal,LEGAL ANALYST,Contract,2021-09-30,193960.44,on leave,Matara,EMP004793,4
EMP010561,Matthew,Wimalasuriya,m,1992/04/29,emp010561@company.lk,0770972639,D002,human resources,HR Manager,CONTRACT,2019/02/20,207264.98,ACTIVE,Matara,EMP019820,28
EMP001560,Sanduni,Wickramasinghe,MALE,,,0752059707,D004,Mktg,Campaign Manager,CONTRACT,2015-09-21,87605.2,Inactive,,EMP017342,24
EMP006557,Amali,Miller,Man,"June 16, 1996",emp006557@company.lk,0786581219,D003,SALES,Sales Coordinator,Permanent,2019/07/08,289436.34,ACTIVE,Colombo,EMP014972,25
EMP015419,Navodya,Rajapaksa,F,1976/12/08,emp015419@company.lk,0745864240,D007,CS,Senior Support Agent,permanent,2021-07-05,157397.59,terminated,Jaffna,,11
EMP001208,,Seneviratne,Female,,emp001208@company.lk,0714192932,D079,Operations,Supply Chain Analyst,,2021/01/18,,On Leave,Negombo,EMP016020,22
EMP004056,Daniel,Miller,f,1978-01-13,emp004056@company.lk,N/A,D005,Fiance,Payroll Officer,,30/07/2010,84475.93,Inactive,Matara,EMP018212,11
EMP015488,Dinesh,Ilangasinghe,Male,1975/04/22,emp015488@company.lk,0747582260,D006,OPERATIONS,Process Engineer,,25/06/2024,281356.46,active,,EMP012228,6
EMP015395,,Jayasuriya,male,08-30-1985,,N/A,D059,RnD,Product Developer,Contract,2013-09-05,43545.77,Terminated,Negombo,EMP019374,20
EMP014598,Lakshmi,Karunaratne,FEMALE,12-05-1985,emp014598@company.lk,0710988223,D010,r&d,R&D Engineer,Part-Time,2015-02-03,226555.42,terminated,Kandy,,6
EMP004098,Daniel,Taylor,Female,"January 13, 1995",emp004098@company.lk,N/A,D009,LEGAL,Contract Manager,permanent,"August 28, 2019",162935.52,Inactive,,,29
EMP003642,Dasun,Ranasinghe,FEMALE,17 May 1986,,0769197970,D004,Marketting,Digital Marketer,CONTRACT,"February 12, 2021",289793.79,ACTIVE,,,19
EMP018243,Nimal,Hettiarachchi,Female,11/12/1981,emp018243@company.lk,0798934547,D001,Engineerng,QA Engineer,permanent,2023/10/04,292104.84,ACTIVE,Matara,EMP006087,15
EMP015526,Priya,Liyanage,Female,07-02-1995,emp015526@company.lk,0767522582,D003,SALES,Business Dev Executive,Part-Time,"March 24, 2022",186960.03,terminated,Matara,EMP005001,10
EMP019468,Ruwani,Dissanayake,m,1989-11-28,emp019468@company.lk,0771360099,D008,Info Tech,System Admin,Full-Time,23 Nov 2022,97726.03,On Leave,,EMP014632,24
EMP010743,Kasun,Weerasinghe,Man,,emp010743@company.lk,0753199621,D003,SALES,Sales Manager,Contract,27/09/2012,157942.89,On Leave,Kandy,EMP008097,8
EMP005814,Harper,Karunaratne,female,07-04-1999,emp005814@company.lk,0728428217,D001,Enginering,Software Engineer,CONTRACT,"May 27, 2021",162949.36,on leave,Kandy,EMP009778,0
EMP018876,Matthew,Taylor,F,1995-06-07,emp018876@company.lk,0724340661,D010,RnD,R&D Engineer,permanent,19 Feb 2012,115004.76,Terminated,Galle,EMP004202,25
EMP011533,Ava,Gamage,Female,1990-10-01,emp011533@company.lk,0764125755,D003,Sales,Sales Manager,CONTRACT,2011/01/19,193673.26,On Leave,Jaffna,,13
EMP003654,Thisari,Smith,f,1979-05-04,emp003654@company.lk,N/A,D003,Sales,Sales Executive,full-time,02/10/2012,114414.29,on leave,Kandy,EMP013574,14
EMP014801,Hiruni,Davis,f,"July 06, 1989",emp014801@company.lk,0761602593,D009,Legel,Paralegal,full-time,2016-04-22,130427.74,Terminated,Colombo,EMP005909,21
EMP013108,Chathura,Gamage,f,"July 06, 1990",emp013108@company.lk,N/A,D008,IT,Cloud Engineer,Full-Time,05/07/2014,111744.5,On Leave,Matara,EMP007506,30
EMP012357,Nimal,Smith,m,"May 26, 1975",,0775020519,D005,Fin,Budget Analyst,Permanent,"March 31, 2017",155701.84,Inactive,Kandy,EMP014346,18
EMP010266,Menaka,Wilson,male,02 Sep 1989,emp010266@company.lk,0722389177,D004,MARKETING,Content Writer,CONTRACT,"November 01, 2013",132635.1,On Leave,Gampaha,EMP002126,28
EMP018848,Arjun,Perera,FEMALE,1989-09-06,emp018848@company.lk,0793690575,D008,Information Technology,Cloud Engineer,Part-Time,2018/05/12,40191.36,Inactive,Colombo,,24
EMP013858,Harsha,Perera,FEMALE,"December 03, 1984",emp013858@company.lk,0720039626,D009,Legel,Paralegal,Part-Time,08-04-2022,303821.55,Active,Matara,EMP000974,2
EMP001453,Hasini,Jackson,F,19 Mar 1985,emp001453@company.lk,0792243450,D005,finance,Internal Auditor,CONTRACT,2023/01/27,311836.3,Active,Colombo,EMP002604,11
EMP018140,Navodya,Jones,female,18 Jan 1992,emp018140@company.lk,0752065638,D003,Sale,Sales Executive,permanent,02-18-2021,90823.34,on leave,Kurunegala,EMP001365,20
EMP012286,Mia,Dissanayake,Male,"July 30, 2000",emp012286@company.lk,0774464987,D001,ENGINEERING,Junior Developer,Contract,"July 06, 2014",241765.46,Inactive,Kandy,EMP018751,
EMP017186,Yomal,White,Male,06-09-1979,emp017186@company.lk,0712038477,D011,Administraton,Admin Executive,Full-Time,19/08/2014,185536.74,Inactive,Gampaha,EMP000380,23
EMP016294,Nadeesha,Goonatilleke,FEMALE,05-11-1984,emp016294@company.lk,0723413433,D010,Research & Dev,Innovation Lead,Permanent,"March 08, 2013",272921.96,terminated,Negombo,EMP014164,
EMP008370,Lasith,Ranasinghe,Woman,1990-12-01,emp008370@company.lk,0726447622,D006,Operatons,SUPPLY CHAIN ANALYST,,2011/03/05,84768.1,ACTIVE,Gampaha,EMP003141,18
EMP007489,Kavindu,Liyanage,m,30/07/1971,emp007489@company.lk,0740664779,D006,Ops,Supply Chain Analyst,Part-Time,23 Apr 2010,228446.66,Terminated,Colombo,EMP011839,2
